empresa;abertura;data_atendimento;tempo_horas
CRE;2025-02-01 00:11:00;2025-02-13 08:20:00;296,15
HGL;2025-02-01 00:17:00;2025-02-11 09:40:00;249,38333333333333
HGL;2025-02-02 00:00:00;2025-02-04 10:45:00;58,75
HCD;2025-02-01 00:14:00;2025-02-24 15:00:00;566,7666666666667
HCD;2025-02-01 00:12:00;2025-02-25 15:30:00;591,3
HDS;2025-02-01 00:12:00;2025-02-25 09:01:00;584,8166666666667
CRE;2025-02-01 00:11:00;2025-02-21 15:30:00;495,31666666666666
HCD;2025-02-01 00:14:00;2025-02-24 13:35:00;565,35
HDS;2025-02-01 00:12:00;2025-02-18 13:29:00;421,28333333333336
HGL;2025-02-01 00:17:00;2025-02-17 08:45:00;392,46666666666664
CRE;2025-02-01 00:11:00;2025-02-20 09:18:00;465,1166666666667
HCD;2025-02-01 00:14:00;2025-02-18 09:40:00;417,43333333333334
HGL;2025-02-03 14:27:00;2025-02-03 16:40:00;2,216666666666667
HDS;2025-02-01 00:12:00;2025-02-10 14:44:00;230,53333333333333
HDS;2025-02-01 00:12:00;2025-02-27 08:45:00;632,55
HGL;2025-02-01 00:17:00;2025-02-07 15:45:00;159,46666666666667
HCD;2025-02-01 00:13:00;2025-02-20 09:00:00;464,78333333333336
CRE;2025-02-01 00:11:00;2025-02-28 11:10:00;658,9833333333333
CRE;2025-02-01 00:11:00;2025-02-20 09:30:00;465,31666666666666
HDS;2025-02-01 00:11:00;2025-02-10 08:44:00;224,55
HGL;2025-02-01 00:15:00;2025-02-25 12:00:00;587,75
HGL;2025-02-01 00:15:00;2025-02-20 14:00:00;469,75
CRE;2025-02-01 00:11:00;2025-02-28 13:40:00;661,4833333333333
CRE;2025-02-03 13:17:00;2025-02-06 08:20:00;67,05
HGL;2025-02-02 16:52:00;2025-02-03 08:00:00;15,133333333333333
HGL;2025-02-01 00:16:00;2025-02-18 09:45:00;417,48333333333335
HCD;2025-02-01 00:13:00;2025-02-26 08:00:00;607,7833333333333
HCD;2025-02-01 00:15:00;2025-02-11 14:00:00;253,75
CRE;2025-02-03 10:39:00;2025-02-03 12:00:00;1,35
HCD;2025-02-01 00:13:00;2025-02-26 14:10:00;613,95
HGL;2025-02-02 00:00:00;2025-02-04 12:00:00;60,0
HDS;2025-02-01 00:12:00;2025-02-18 10:55:00;418,71666666666664
CRE;2025-02-03 10:06:00;2025-02-27 22:20:00;588,2333333333333
HCD;2025-02-01 00:13:00;2025-02-19 15:00:00;446,78333333333336
HGL;2025-02-03 11:17:00;2025-02-05 08:40:00;45,38333333333333
HCD;2025-02-01 00:12:00;2025-02-22 06:00:00;509,8
HGL;2025-02-01 00:17:00;2025-02-24 10:40:00;562,3833333333333
HCD;2025-02-01 00:15:00;2025-02-17 09:05:00;392,8333333333333
HCD;2025-02-01 00:14:00;2025-02-13 09:45:00;297,51666666666665
HCD;2025-02-01 00:12:00;2025-02-17 13:50:00;397,6333333333333
